2009-08-12 22:15:05 Debug: Notice (8): Undefined property: UnlimitedTariffsController::$unlimited_tariffs in [APP\controllers\unlimited_tariffs_controller.php, line 5]
2009-08-12 22:18:05 Debug: Notice (8): Undefined variable: unlimited_tariffs in [APP\views\unlimited_tariffs\index.ctp, line 8]
2009-08-12 22:27:46 Debug: Notice (8): Undefined variable: unlimited_tariffs in [APP\views\unlimited_tariffs\index.ctp, line 8]
2009-08-12 22:30:18 Debug: Notice (8): Undefined variable: unlimited_tariffs in [APP\views\unlimited_tariffs\index.ctp, line 8]
2009-08-12 23:31:36 Debug: Notice (8): Undefined variable: unlimited_tariffs in [APP\views\layouts\default.ctp, line 30]
2009-08-12 23:31:37 Debug: Notice (8): Undefined variable: unlimited_tariffs in [APP\views\layouts\default.ctp, line 30]
2009-08-12 23:31:54 Debug: Notice (8): Undefined variable: name in [APP\views\layouts\default.ctp, line 30]
2009-08-12 23:31:55 Debug: Notice (8): Undefined variable: name in [APP\views\layouts\default.ctp, line 30]
2009-08-12 23:31:55 Debug: Notice (8): Undefined variable: name in [APP\views\layouts\default.ctp, line 30]
2009-08-12 23:34:04 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 30]
2009-08-12 23:34:04 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 30]
2009-08-12 23:44:42 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:44:42 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 33]
2009-08-12 23:44:43 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:44:43 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 33]
2009-08-12 23:45:48 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:45:48 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:45:48 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:45:48 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:46:27 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:46:27 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:46:27 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:46:27 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:00 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:00 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:00 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:00 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:09 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:09 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:10 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:10 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:34 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:34 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:34 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:34 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:37 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:37 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:37 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:37 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:44 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:44 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:47:44 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:47:44 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:59:33 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:59:33 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-12 23:59:33 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-12 23:59:33 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 34]
2009-08-13 09:03:08 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-13 09:03:08 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-13 09:06:51 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-13 09:06:51 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-13 09:06:53 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-13 09:57:19 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-13 09:57:19 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-13 09:58:33 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-13 09:58:33 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 13]
2009-08-13 23:12:20 Debug: Notice (8): Undefined variable: view in [APP\views\unlimited_tariffs\index.ctp, line 1]
2009-08-13 23:12:45 Debug: Notice (8): Undefined variable: index in [APP\views\unlimited_tariffs\index.ctp, line 1]
2009-08-14 17:57:44 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 8]
2009-08-14 17:57:49 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 8]
2009-08-14 17:58:34 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 8]
2009-08-14 18:01:06 Debug: Notice (8): Undefined variable: Javascript in [APP\views\layouts\default.ctp, line 8]
2009-08-14 18:31:10 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 10]
2009-08-14 20:50:06 Debug: Notice (8): Undefined variable: menu_selected_item in [APP\views\layouts\default.ctp, line 10]
2009-08-14 21:43:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:43:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:43:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:43:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:43:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:43:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:47:58 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:48:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:48:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:48:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:48:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:48:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:49:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:49:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:49:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:49:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:49:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:49:09 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:11 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:13 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:13 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:13 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:13 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:13 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
2009-08-14 21:50:52 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 9]
